Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0600562,2016,"Alameda city, California",2611,4.4,3121,5.3,8114,13.8,11849,20.1,4214,7.1,18387,31.2,10689,18.1
1600000US0600884,2016,"Alhambra city, California",7859,12.6,3419,5.5,17200,27.6,10077,16.2,4185,6.7,13329,21.4,6319,10.1
1600000US0602000,2016,"Anaheim city, California",33385,14.7,23679,10.4,51508,22.7,45995,20.3,16148,7.1,42335,18.6,14071,6.2
1600000US0602252,2016,"Antioch city, California",4673,6.3,5079,6.8,19412,26,22348,30,7018,9.4,12146,16.3,3868,5.2
1600000US0602364,2016,"Apple Valley town, California",1962,4.2,4947,10.6,12575,27,15981,34.3,4200,9,4328,9.3,2566,5.5
1600000US0602553,2016,"Arden-Arcade CDP, California",3428,4.8,3913,5.4,18745,26,13914,19.3,7508,10.4,14740,20.5,9764,13.6
1600000US0603526,2016,"Bakersfield city, California",21551,9.7,23425,10.5,55702,25.1,52531,23.6,20235,9.1,33073,14.9,15789,7.1
1600000US0603666,2016,"Baldwin Park city, California",11099,22,7070,14,14026,27.8,9271,18.4,2400,4.8,6001,11.9,610,1.2
1600000US0604982,2016,"Bellflower city, California",7162,14.2,5787,11.4,12955,25.6,11623,23,4079,8.1,6767,13.4,2192,4.3
1600000US0606000,2016,"Berkeley city, California",1077,1.4,1151,1.5,4560,5.9,8759,11.3,3127,4.1,26535,34.4,31975,41.4
1600000US0608786,2016,"Buena Park city, California",7262,13.1,5942,10.7,12106,21.8,12103,21.8,4382,7.9,9651,17.4,4164,7.5
1600000US0608954,2016,"Burbank city, California",4333,5.7,3688,4.9,15462,20.4,13299,17.5,6948,9.1,22767,30,9475,12.5
1600000US0610046,2016,"Camarillo city, California",1282,2.8,2322,5.1,7740,17,11772,25.9,5947,13.1,11155,24.5,5305,11.7
1600000US0611194,2016,"Carlsbad city, California",1631,2.1,1801,2.3,7201,9.1,15450,19.5,5264,6.6,27005,34.1,20940,26.4
1600000US0611390,2016,"Carmichael CDP, California",1280,2.8,1645,3.7,7930,17.6,15098,33.6,5963,13.3,7677,17.1,5363,11.9
1600000US0611530,2016,"Carson city, California",7700,12,5030,7.8,14388,22.4,14061,21.9,5663,8.8,12173,18.9,5224,8.1
1600000US0611964,2016,"Castro Valley CDP, California",1686,3.6,1683,3.6,9037,19.1,12356,26.2,2728,5.8,12601,26.7,7130,15.1
1600000US0613014,2016,"Chico city, California",2101,4,2790,5.3,9337,17.6,16184,30.6,5152,9.7,10200,19.3,7186,13.6
1600000US0613210,2016,"Chino city, California",5998,9.4,7682,12,15053,23.5,16672,26,4725,7.4,9671,15.1,4345,6.8
1600000US0613214,2016,"Chino Hills city, California",1484,2.8,1431,2.7,11212,21.4,10644,20.3,4117,7.8,16432,31.3,7193,13.7
1600000US0613392,2016,"Chula Vista city, California",15947,8.9,19793,11,39047,21.7,40926,22.8,14815,8.2,32971,18.3,16282,9.1
1600000US0613588,2016,"Citrus Heights city, California",3924,6.4,2771,4.5,14911,24.2,19972,32.5,7711,12.5,8993,14.6,3233,5.3
1600000US0614218,2016,"Clovis city, California",2266,3.4,4873,7.4,14189,21.5,17010,25.7,5979,9,14772,22.4,6983,10.6
1600000US0615044,2016,"Compton city, California",15327,27.2,8372,14.9,13874,24.6,11457,20.3,2760,4.9,3530,6.3,1043,1.9
1600000US0616000,2016,"Concord city, California",5301,5.9,4008,4.5,15780,17.6,20752,23.1,8887,9.9,25001,27.9,9980,11.1
1600000US0616350,2016,"Corona city, California",9367,8.4,8367,7.5,25996,23.3,29304,26.3,10622,9.5,18453,16.6,9320,8.4
1600000US0616532,2016,"Costa Mesa city, California",10367,13.2,4322,5.5,16011,20.5,16032,20.5,4664,6,18030,23,8827,11.3
1600000US0617918,2016,"Daly City city, California",6216,7.8,4960,6.2,13200,16.5,14812,18.5,7091,8.9,25960,32.5,7657,9.6
1600000US0618100,2016,"Davis city, California",274,0.8,649,1.8,3002,8.5,4525,12.9,1692,4.8,10532,29.9,14494,41.2
1600000US0619766,2016,"Downey city, California",7609,10.5,5972,8.3,20148,27.8,15978,22.1,5503,7.6,11969,16.5,5174,7.2
1600000US0620802,2016,"East Los Angeles CDP, California",24534,31.7,12733,16.4,21122,27.3,10392,13.4,2931,3.8,4363,5.6,1360,1.8
1600000US0621712,2016,"El Cajon city, California",7465,11.5,5171,8,17646,27.2,17175,26.5,5540,8.5,8719,13.5,3103,4.8
1600000US0622020,2016,"Elk Grove city, California",5428,5,5270,4.9,17081,15.8,26278,24.4,12664,11.7,27139,25.2,13956,12.9
1600000US0622230,2016,"El Monte city, California",20153,26.6,11928,15.7,21558,28.4,10713,14.1,3687,4.9,6561,8.7,1205,1.6
1600000US0622804,2016,"Escondido city, California",12857,13.2,9697,10,23940,24.6,21786,22.4,6722,6.9,15593,16,6719,6.9
1600000US0623182,2016,"Fairfield city, California",5045,6.7,5973,7.9,17546,23.3,19060,25.3,8559,11.4,14636,19.4,4543,6
1600000US0624477,2016,"Florence-Graham CDP, California",13837,38.4,5160,14.3,9103,25.3,4897,13.6,1552,4.3,1298,3.6,169,0.5
1600000US0624638,2016,"Folsom city, California",1805,3.4,1948,3.7,7605,14.4,11499,21.8,4770,9.1,15123,28.7,9952,18.9
1600000US0624680,2016,"Fontana city, California",17496,13.7,15367,12,36703,28.7,27691,21.6,8040,6.3,17088,13.3,5652,4.4
1600000US0626000,2016,"Fremont city, California",3435,2.1,6558,4,29003,17.9,24125,14.9,7837,4.8,49000,30.2,42358,26.1
1600000US0627000,2016,"Fresno city, California",40291,12.7,34943,11.1,70301,22.2,74574,23.6,27750,8.8,44280,14,23880,7.6
1600000US0628000,2016,"Fullerton city, California",6313,6.7,4985,5.3,17903,19.1,17559,18.7,6976,7.4,26143,27.9,13786,14.7
1600000US0629000,2016,"Garden Grove city, California",15195,13,14093,12.1,25438,21.8,26961,23.1,7639,6.5,21330,18.2,6275,5.4
1600000US0630000,2016,"Glendale city, California",11632,7.8,7184,4.8,27813,18.6,24035,16,15408,10.3,41382,27.6,22328,14.9
1600000US0632548,2016,"Hawthorne city, California",7450,13.2,6309,11.2,13131,23.2,13482,23.8,3986,7,8163,14.4,4029,7.1
1600000US0633000,2016,"Hayward city, California",12781,12,7992,7.5,30196,28.3,19712,18.5,7551,7.1,20866,19.5,7692,7.2
1600000US0633182,2016,"Hemet city, California",5149,9.5,4934,9.1,17749,32.8,15336,28.3,4661,8.6,4213,7.8,2086,3.9
1600000US0633434,2016,"Hesperia city, California",6809,11.8,8930,15.4,20566,35.5,11815,20.4,4005,6.9,4014,6.9,1738,3
1600000US0636000,2016,"Huntington Beach city, California",5411,3.7,5274,3.6,22996,15.6,37449,25.4,15468,10.5,38853,26.3,22213,15
1600000US0636448,2016,"Indio city, California",6584,11,7249,12.1,21708,36.3,11925,20,3677,6.2,5132,8.6,3474,5.8
1600000US0636546,2016,"Inglewood city, California",8927,11.6,8385,10.9,16101,21,19968,26,6084,7.9,11169,14.6,6120,8
1600000US0636770,2016,"Irvine city, California",2314,1.4,2950,1.7,13972,8.2,18155,10.7,10862,6.4,67590,39.7,54220,31.9
1600000US0637692,2016,"Jurupa Valley city, California",11381,17.8,9499,14.8,19438,30.3,14109,22,3383,5.3,3963,6.2,2324,3.6
1600000US0639248,2016,"Laguna Niguel city, California",1109,2.3,1334,2.8,5211,11,9712,20.5,3832,8.1,16183,34.2,9967,21.1
1600000US0639496,2016,"Lake Forest city, California",2130,3.6,1993,3.4,8586,14.6,13691,23.3,4404,7.5,17764,30.2,10292,17.5
1600000US0639892,2016,"Lakewood city, California",2287,4.3,2599,4.9,11203,21,15402,28.8,6288,11.8,11000,20.6,4634,8.7
1600000US0640130,2016,"Lancaster city, California",8397,8.3,11271,11.2,31055,30.8,21772,21.6,10805,10.7,10820,10.7,6648,6.6
1600000US0641992,2016,"Livermore city, California",3162,5.1,2232,3.6,10783,17.3,15946,25.6,6213,10,15293,24.5,8730,14
1600000US0643000,2016,"Long Beach city, California",41056,13.3,23794,7.7,57010,18.5,74972,24.3,19268,6.2,57589,18.7,35055,11.4
1600000US0644000,2016,"Los Angeles city, California",390689,14.3,251049,9.2,536725,19.6,481056,17.6,178086,6.5,588490,21.5,308976,11.3
1600000US0644574,2016,"Lynwood city, California",10822,26.3,8305,20.2,11951,29,5623,13.7,1670,4.1,2276,5.5,515,1.3
1600000US0645484,2016,"Manteca city, California",4140,8.5,5224,10.7,16838,34.6,11300,23.2,4372,9,5023,10.3,1769,3.6
1600000US0646842,2016,"Menifee city, California",3958,6.6,3665,6.1,15574,26,16916,28.3,6507,10.9,8094,13.5,5111,8.5
1600000US0646898,2016,"Merced city, California",7170,15.6,5353,11.7,10309,22.5,11120,24.2,4397,9.6,3805,8.3,3709,8.1
1600000US0647766,2016,"Milpitas city, California",2736,4.9,3195,5.8,10917,19.7,8176,14.7,4090,7.4,15361,27.7,10973,19.8
1600000US0648256,2016,"Mission Viejo city, California",1192,1.7,2731,3.9,9690,13.9,13573,19.4,8006,11.4,23720,33.9,11030,15.8
1600000US0648354,2016,"Modesto city, California",11226,8.2,13757,10.1,38804,28.5,37163,27.3,10386,7.6,17419,12.8,7586,5.6
1600000US0649270,2016,"Moreno Valley city, California",12539,10.6,14791,12.5,32045,27.1,27159,23,11301,9.6,13330,11.3,7079,6
1600000US0649670,2016,"Mountain View city, California",3809,6.6,1593,2.7,5928,10.2,5625,9.7,2285,3.9,16655,28.6,22243,38.3
1600000US0650076,2016,"Murrieta city, California",3355,4.9,2473,3.6,15765,22.8,20710,30,6831,9.9,13504,19.6,6430,9.3
1600000US0650258,2016,"Napa city, California",6445,11.5,3112,5.5,10002,17.8,12337,22,4796,8.5,12922,23,6554,11.7
1600000US0651182,2016,"Newport Beach city, California",288,0.4,822,1.2,3662,5.6,11189,17,4291,6.5,27214,41.3,18464,28
1600000US0652526,2016,"Norwalk city, California",11152,16.1,6411,9.3,18872,27.3,15014,21.7,4523,6.5,9799,14.2,3294,4.8
1600000US0653000,2016,"Oakland city, California",33845,11.2,24330,8,44817,14.8,55496,18.3,19998,6.6,73005,24.1,51381,17
1600000US0653322,2016,"Oceanside city, California",9483,7.9,7136,5.9,23388,19.5,31547,26.3,12299,10.2,26612,22.2,9580,8
1600000US0653896,2016,"Ontario city, California",13763,12.5,15703,14.3,32328,29.4,23052,21,8539,7.8,12155,11.1,4344,4
1600000US0653980,2016,"Orange city, California",5674,6.1,7470,8,17646,19,20612,22.2,8406,9.1,21551,23.2,11497,12.4
1600000US0654652,2016,"Oxnard city, California",30049,23.6,12212,9.6,28646,22.5,25033,19.6,9858,7.7,15647,12.3,6041,4.7
1600000US0655156,2016,"Palmdale city, California",10145,11,13361,14.5,23405,25.3,24058,26,6360,6.9,10159,11,4953,5.4
1600000US0655282,2016,"Palo Alto city, California",310,0.6,528,1.1,2960,6,3501,7.1,1949,3.9,13788,27.9,26322,53.3
1600000US0656000,2016,"Pasadena city, California",9026,8.6,4459,4.2,14724,14,17035,16.2,5483,5.2,30374,28.9,24050,22.9
1600000US0656700,2016,"Perris city, California",6421,15.6,6107,14.8,14049,34.1,7599,18.5,2699,6.6,3234,7.9,1063,2.6
1600000US0657456,2016,"Pittsburg city, California",4734,10.6,5300,11.8,11584,25.8,11374,25.4,2635,5.9,6754,15.1,2477,5.5
1600000US0657792,2016,"Pleasanton city, California",1169,2,766,1.3,5501,9.6,8113,14.1,3913,6.8,20127,35,17864,31.1
1600000US0658072,2016,"Pomona city, California",16547,18.5,12742,14.3,22379,25.1,18194,20.4,5030,5.6,11139,12.5,3178,3.6
1600000US0659444,2016,"Rancho Cordova city, California",2254,4.7,3383,7,12043,24.9,12306,25.4,4279,8.8,10293,21.3,3801,7.9
1600000US0659451,2016,"Rancho Cucamonga city, California",3726,3.1,8919,7.5,20900,17.6,29192,24.6,14234,12,26409,22.2,15432,13
1600000US0659920,2016,"Redding city, California",2297,3.7,2788,4.5,13265,21.2,21539,34.5,6734,10.8,10564,16.9,5305,8.5
1600000US0659962,2016,"Redlands city, California",2019,4.3,2711,5.7,9323,19.7,11464,24.2,4724,10,9516,20.1,7580,16
1600000US0660018,2016,"Redondo Beach city, California",932,1.8,1169,2.2,6248,11.8,9969,18.9,5287,10,17481,33.1,11768,22.3
1600000US0660102,2016,"Redwood City city, California",5874,9.8,3252,5.4,9111,15.2,10580,17.7,2236,3.7,14552,24.3,14246,23.8
1600000US0660466,2016,"Rialto city, California",8458,14.3,9933,16.8,18036,30.5,13189,22.3,3202,5.4,4575,7.7,1722,2.9
1600000US0660620,2016,"Richmond city, California",12387,16.7,5607,7.6,15855,21.4,15643,21.2,5784,7.8,11612,15.7,7069,9.6
1600000US0662000,2016,"Riverside city, California",18933,9.5,20334,10.2,49766,25,46682,23.5,14967,7.5,27487,13.8,20735,10.4
1600000US0662938,2016,"Roseville city, California",2620,2.9,2440,2.7,15931,17.5,23962,26.3,10036,11,24541,26.9,11640,12.8
1600000US0664000,2016,"Sacramento city, California",29768,8.8,25722,7.6,74892,22.2,74326,22,28203,8.4,67446,20,37360,11.1
1600000US0664224,2016,"Salinas city, California",31084,33.1,8914,9.5,20046,21.4,13700,14.6,8239,8.8,8340,8.9,3486,3.7
1600000US0665000,2016,"San Bernardino city, California",17968,14.9,22100,18.3,32008,26.5,28638,23.7,9173,7.6,8241,6.8,2738,2.3
1600000US0665042,2016,"San Buenaventura (Ventura) city, California",2887,3.7,4082,5.3,12760,16.5,21609,27.9,7512,9.7,15857,20.5,12700,16.4
1600000US0665084,2016,"San Clemente city, California",1239,2.6,954,2,5573,11.8,10710,22.6,5490,11.6,14872,31.4,8579,18.1
1600000US0666000,2016,"San Diego city, California",67693,7.1,57413,6,143963,15,193871,20.2,71746,7.5,254489,26.6,168656,17.6
1600000US0667000,2016,"San Francisco city, California",50757,7.4,32703,4.7,84652,12.3,94619,13.7,32152,4.7,234899,34.1,159914,23.2
1600000US0668000,2016,"San Jose city, California",72434,10.4,45227,6.5,120501,17.3,115511,16.6,47041,6.7,183329,26.3,113598,16.3
1600000US0668084,2016,"San Leandro city, California",6701,10.1,5051,7.6,16062,24.1,15560,23.3,4765,7.1,11894,17.8,6639,10
1600000US0668196,2016,"San Marcos city, California",5643,9.8,3454,6,10873,18.8,12187,21.1,4967,8.6,13364,23.1,7267,12.6
1600000US0668252,2016,"San Mateo city, California",4817,6.4,2065,2.7,12525,16.6,11924,15.8,4291,5.7,24149,32,15723,20.8
1600000US0668378,2016,"San Ramon city, California",649,1.3,617,1.2,3949,7.8,6503,12.8,3519,6.9,19353,38.1,16189,31.9
1600000US0669000,2016,"Santa Ana city, California",53592,26,35048,17,46803,22.7,33522,16.2,9241,4.5,21498,10.4,6741,3.3
1600000US0669070,2016,"Santa Barbara city, California",4735,7.3,3501,5.4,9740,15.1,11843,18.3,3304,5.1,17736,27.5,13711,21.2
1600000US0669084,2016,"Santa Clara city, California",3872,4.6,3752,4.5,8409,10,12183,14.5,4871,5.8,28237,33.6,22833,27.1
1600000US0669088,2016,"Santa Clarita city, California",6943,5.6,6399,5.1,21919,17.6,33265,26.7,11569,9.3,30642,24.6,13751,11
1600000US0669196,2016,"Santa Maria city, California",18840,30.5,5934,9.6,11474,18.6,12301,19.9,3987,6.5,6140,9.9,3099,5
1600000US0670000,2016,"Santa Monica city, California",2170,2.9,2550,3.4,5792,7.7,8152,10.9,3165,4.2,31412,42,21622,28.9
1600000US0670098,2016,"Santa Rosa city, California",8002,6.5,7174,5.9,23708,19.4,30345,24.8,12630,10.3,25275,20.7,15180,12.4
1600000US0672016,2016,"Simi Valley city, California",2868,3.3,3919,4.5,19843,22.6,23242,26.5,9651,11,17715,20.2,10520,12
1600000US0673080,2016,"South Gate city, California",16567,28.6,8411,14.5,14672,25.4,10442,18,3593,6.2,2925,5.1,1247,2.2
1600000US0673262,2016,"South San Francisco city, California",3650,7.3,4198,8.4,9682,19.4,10679,21.3,4600,9.2,13656,27.3,3561,7.1
1600000US0675000,2016,"Stockton city, California",25744,13.6,21440,11.3,49086,26,43292,22.9,17895,9.5,20833,11,10788,5.7
1600000US0677000,2016,"Sunnyvale city, California",4439,4.1,4478,4.1,13325,12.2,11789,10.8,6667,6.1,34649,31.6,34178,31.2
1600000US0678120,2016,"Temecula city, California",2158,3.1,3123,4.5,14199,20.3,22745,32.6,5832,8.4,14803,21.2,6984,10
1600000US0678582,2016,"Thousand Oaks city, California",2975,3.2,2154,2.3,11731,12.7,19225,20.8,7957,8.6,27275,29.5,21126,22.9
1600000US0680000,2016,"Torrance city, California",2773,2.6,3860,3.7,16489,15.7,21323,20.3,8739,8.3,34324,32.7,17471,16.6
1600000US0680238,2016,"Tracy city, California",2833,5.1,3976,7.1,16420,29.4,16623,29.7,5226,9.3,7882,14.1,2964,5.3
1600000US0680812,2016,"Turlock city, California",8019,16.3,4814,9.8,10982,22.3,11258,22.9,3982,8.1,6893,14,3240,6.6
1600000US0680854,2016,"Tustin city, California",3650,6.7,2779,5.1,9706,17.8,8122,14.9,5714,10.5,16981,31.1,7703,14.1
1600000US0681204,2016,"Union City city, California",1692,3.2,2167,4,13648,25.5,11436,21.4,3003,5.6,15184,28.4,6403,12
1600000US0681344,2016,"Upland city, California",2820,5.4,4162,8,11677,22.6,11968,23.1,6091,11.8,9238,17.8,5818,11.2
1600000US0681554,2016,"Vacaville city, California",2625,3.9,4383,6.6,14523,21.8,20987,31.5,6094,9.1,11549,17.3,6568,9.8
1600000US0681666,2016,"Vallejo city, California",4613,5.4,7182,8.5,21682,25.6,21143,24.9,9042,10.7,16069,18.9,5080,6
1600000US0682590,2016,"Victorville city, California",4818,6.6,11051,15.1,22777,31.2,20274,27.8,5174,7.1,5548,7.6,3358,4.6
1600000US0682954,2016,"Visalia city, California",6008,7.7,10861,14,16799,21.6,19626,25.3,6331,8.2,11220,14.5,6800,8.8
1600000US0682996,2016,"Vista city, California",8037,12.7,5816,9.2,16299,25.7,13737,21.7,5549,8.8,9789,15.4,4189,6.6
1600000US0683346,2016,"Walnut Creek city, California",591,1.1,340,0.6,6056,11.3,9211,17.3,4353,8.2,17552,32.9,15291,28.6
1600000US0684200,2016,"West Covina city, California",5545,7.7,5645,7.8,20344,28.3,14400,20,5324,7.4,14968,20.8,5711,7.9
1600000US0684550,2016,"Westminster city, California",8206,12.7,6043,9.3,14832,22.9,14714,22.8,4531,7,11983,18.5,4349,6.7
1600000US0685292,2016,"Whittier city, California",3328,5.8,3984,7,13815,24.2,16273,28.6,4750,8.3,9842,17.3,4995,8.8
1600000US0686832,2016,"Yorba Linda city, California",329,0.7,1757,3.9,5966,13.1,8943,19.7,3179,7,15631,34.4,9652,21.2
1600000US0686972,2016,"Yuba City city, California",5904,13.5,4499,10.3,9502,21.8,11681,26.8,4911,11.3,5202,11.9,1941,4.4
